cve,post_id,commit_url,cve_desc_text,commit_msg_text,code_text,is_patch(codeonly),helpfulness(codeonly),is_patch,helpfulness,true_label,method
CVE-2018-12028,CVE-2018-12028/fd3717a3cd357aa0e80e1e81d4dc94a1eaf928f1,https://github.com/phusion/passenger/commit/fd3717a3cd357aa0e80e1e81d4dc94a1eaf928f1,"<s>An Incorrect Access Control vulnerability in SpawningKit in Phusion Passenger 5.3.x before 5.3.2 allows a Passenger-managed malicious application, upon spawning a child process, to report an arbitrary different PID back to Passenger's process manager. If the malicious application then generates an error, it would cause Passenger's process manager to kill said reported arbitrary PID.</s>","<s>SpawningKit: ensure safe reading of files in the work dir after its finalization
After finalization of the work dir, it is owned by the app's user and group.
This allows the app to arbitrarily modify the work dir to insert symlinks.
In order to prevent the SpawningKit code (which may run as root) from reading
arbitrary files through symlink attacks, we use the safeReadFile() function.
This function also mitigates various DoS attacks (see its comments).
</s>"," diff --git a/src/agent/Core/SpawningKit/Handshake/Prepare.h b/src/agent/Core/SpawningKit/Handshake/Prepare.h
index 6e632e287..6093850cf 100644
--- a/src/agent/Core/SpawningKit/Handshake/Prepare.h
+++ b/src/agent/Core/SpawningKit/Handshake/Prepare.h
@@ -1,6 +1,6 @@
 /*
  *  Phusion Passenger - https://www.phusionpassenger.com/
- *  Copyright (c) 2016-2017 Phusion Holding B.V.
+ *  Copyright (c) 2016-2018 Phusion Holding B.V.
  *
  *  ""Passenger"", ""Phusion Passenger"" and ""Union Station"" are registered
  *  trademarks of Phusion Holding B.V.
@@ -33,6 +33,7 @@
 #include <vector>
 #include <stdexcept>
 #include <algorithm>
+#include <utility>
 #include <cerrno>
 #include <cstddef>
 #include <cassert>
@@ -216,6 +217,43 @@ private:
 		}
 	}
 
+	// Open various workdir subdirectories because we'll use these file descriptors later in
+	// safeReadFile() calls.
+	void openWorkDirSubdirFds() {
+		session.workDirFd = openDirFd(session.workDir->getPath());
+		session.responseDirFd = openDirFd(session.responseDir);
+		session.responseErrorDirFd = openDirFd(session.responseDir + ""/error"");
+		session.envDumpDirFd = openDirFd(session.envDumpDir);
+		session.envDumpAnnotationsDirFd = openDirFd(session.envDumpDir + ""/annotations"");
+		openJourneyStepDirFds(getFirstSubprocessJourneyStep(),
+			getLastSubprocessJourneyStep());
+		openJourneyStepDirFds(getFirstPreloaderJourneyStep(),
+			JourneyStep((int) getLastPreloaderJourneyStep() + 1));
+	}
+
+	void openJourneyStepDirFds(JourneyStep firstStep, JourneyStep lastStep) {
+		JourneyStep step;
+
+		for (step = firstStep; step < lastStep; step = JourneyStep((int) step + 1)) {
+			if (!session.journey.hasStep(step)) {
+				continue;
+			}
+
+			string stepString = journeyStepToStringLowerCase(step);
+			string stepDir = session.responseDir + ""/steps/"" + stepString;
+			session.stepDirFds.insert(make_pair(step, openDirFd(stepDir)));
+		}
+	}
+
+	int openDirFd(const string &path) {
+		int fd = open(path.c_str(), O_RDONLY);
+		if (fd == -1) {
+			int e = errno;
+			throw FileSystemException(""Cannot open "" + path, e, path);
+		}
+		return fd;
+	}
+
 	void initializeResult() {
 		session.result.initialize(*context, config);
 	}
@@ -549,6 +587,7 @@ public:
 
 			resolveUserAndGroup();
 			createWorkDir();
+			openWorkDirSubdirFds();
 			initializeResult();
 
 			UPDATE_TRACE_POINT();
",0.0,,0.0,,0.0,none
CVE-2018-12028,CVE-2018-12028/1e7c82deb4901c438f583737d8c9f2aac264737c,https://github.com/phusion/passenger/commit/1e7c82deb4901c438f583737d8c9f2aac264737c,"<s>An Incorrect Access Control vulnerability in SpawningKit in Phusion Passenger 5.3.x before 5.3.2 allows a Passenger-managed malicious application, upon spawning a child process, to report an arbitrary different PID back to Passenger's process manager. If the malicious application then generates an error, it would cause Passenger's process manager to kill said reported arbitrary PID.</s>","<s>SpawningKit: do not allow killing the PID returned by the preloader until we have verified that it is genuine
Otherwise the preloader can trick us into killing an arbitrary process.
</s>"," diff --git a/src/agent/Core/SpawningKit/SmartSpawner.h b/src/agent/Core/SpawningKit/SmartSpawner.h
index f1c66de40..dfd617ef5 100644
--- a/src/agent/Core/SpawningKit/SmartSpawner.h
+++ b/src/agent/Core/SpawningKit/SmartSpawner.h
@@ -840,16 +840,56 @@ private:
 	{
 		TRACE_POINT();
 		pid_t spawnedPid = doc[""pid""].asInt();
-		ScopeGuard guard(boost::bind(nonInterruptableKillAndWaitpid, spawnedPid));
 
-		UPDATE_TRACE_POINT();
-		waitForStdChannelFifosToBeOpenedByPeer(stdChannelsAsyncOpenState,
-			session, spawnedPid);
-
-		UPDATE_TRACE_POINT();
 		// How do we know the preloader actually forked a process
 		// instead of reporting the PID of a random other existing process?
-		// For security reasons we perform a UID check.
+		// For security reasons we perform a bunch of sanity checks,
+		// including checking the PID's UID.
+
+		if (spawnedPid < 1) {
+			UPDATE_TRACE_POINT();
+			session.journey.setStepErrored(SPAWNING_KIT_PROCESS_RESPONSE_FROM_PRELOADER);
+
+			SpawnException e(INTERNAL_ERROR, session.journey, session.config);
+			addPreloaderEnvDumps(e);
+			e.setSummary(""The the preloader said it spawned a process with PID ""
+				+ toString(spawnedPid) + "", which is not allowed."");
+			e.setSubprocessPid(spawnedPid);
+			e.setStdoutAndErrData(getBackgroundIOCapturerData(
+				stdChannelsAsyncOpenState->stdoutAndErrCapturer));
+			e.setProblemDescriptionHTML(
+				""<h2>Application process has unexpected PID</h2>""
+				""<p>The "" PROGRAM_NAME "" application server tried""
+				"" to start the web application by communicating with a""
+				"" helper process that we call a \""preloader\"". However,""
+				"" the preloader reported that it started a process with""
+				"" a PID of "" + toString(spawnedPid) + "", which is not""
+				"" allowed.</p>"");
+			if (!session.config->genericApp && session.config->startsUsingWrapper
+				&& session.config->wrapperSuppliedByThirdParty)
+			{
+				e.setSolutionDescriptionHTML(
+					""<h2>Please report this bug</h2>""
+					""<p class=\""sole-solution\"">""
+					""This is probably a bug in the preloader process. The preloader ""
+					""wrapper program is not written by the "" PROGRAM_NAME "" authors, ""
+					""but by a third party. Please report this bug to the author of ""
+					""the preloader wrapper program.""
+					""</p>"");
+			} else {
+				e.setSolutionDescriptionHTML(
+					""<h2>Please report this bug</h2>""
+					""<p class=\""sole-solution\"">""
+					""This is probably a bug in the preloader process. The preloader ""
+					""is an internal tool part of "" PROGRAM_NAME "". Please ""
+					""<a href=\"""" SUPPORT_URL ""\"">""
+					""report this bug</a>.""
+					""</p>"");
+			}
+			throw e.finalize();
+		}
+
+		UPDATE_TRACE_POINT();
 		uid_t spawnedUid = getProcessUid(session, spawnedPid,
 			stdChannelsAsyncOpenState->stdoutAndErrCapturer);
 		if (spawnedUid != session.uid) {
@@ -897,6 +937,11 @@ private:
 			throw e.finalize();
 		}
 
+		UPDATE_TRACE_POINT();
+		ScopeGuard guard(boost::bind(nonInterruptableKillAndWaitpid, spawnedPid));
+		waitForStdChannelFifosToBeOpenedByPeer(stdChannelsAsyncOpenState,
+			session, spawnedPid);
+
 		UPDATE_TRACE_POINT();
 		string alreadyReadStdoutAndErrData;
 		if (stdChannelsAsyncOpenState->stdoutAndErrCapturer != NULL) {
",1.0,,1.0,,1.0,none
CVE-2018-12028,CVE-2018-12028/3f270a9dd27984a827874bd6612d984204e31abc,https://github.com/phusion/passenger/commit/3f270a9dd27984a827874bd6612d984204e31abc,"<s>An Incorrect Access Control vulnerability in SpawningKit in Phusion Passenger 5.3.x before 5.3.2 allows a Passenger-managed malicious application, upon spawning a child process, to report an arbitrary different PID back to Passenger's process manager. If the malicious application then generates an error, it would cause Passenger's process manager to kill said reported arbitrary PID.</s>","<s>SpawningKit: sanity-check Unix domain socket addresses reported by the app
If apps can report arbitrary Unix domain socket filenames then they
can make Passenger connect to (and forward traffic to) arbitrary sockets.
That probably isn't problematic but we don't want to allow it just to be
safe.
A more important issue is this: if any of the parent directories of the
socket is writable by a normal user (Joe) that is not the app's user (Jane),
then Joe can swap that directory with something else, with contents
controlled by Joe. That way, Joe can cause Passenger to connect to (and
forward Jane's traffic to) a process that does not actually belong to Jane.
We mitigate these issues with extra permission checks, and by insisting
that any sockets must be created inside the instance directory's app.s
subdirectory.
</s>"," diff --git a/src/agent/Core/SpawningKit/Handshake/Perform.h b/src/agent/Core/SpawningKit/Handshake/Perform.h
index cd55d1d17..247cc77c7 100644
--- a/src/agent/Core/SpawningKit/Handshake/Perform.h
+++ b/src/agent/Core/SpawningKit/Handshake/Perform.h
@@ -49,6 +49,7 @@
 #include <Exceptions.h>
 #include <FileDescriptor.h>
 #include <FileTools/FileManip.h>
+#include <FileTools/PathManip.h>
 #include <Utils.h>
 #include <Utils/ScopeGuard.h>
 #include <Utils/SystemTime.h>
@@ -437,40 +438,44 @@ private:
src			if (socketsRequired) {
Forward				errors.push_back(""'sockets' must be specified"");
/			}
-		} else if (!doc[""sockets""].isArray()) {
+			return;
+		}
+		if (!doc[""sockets""].isArray()) {
 			errors.push_back(""'sockets' must be an array"");
-		} else {
-			if (socketsRequired && doc[""sockets""].empty()) {
-				errors.push_back(""'sockets' must be non-empty"");
-				return;
-			}
-
-			Json::Value::const_iterator it, end = doc[""sockets""].end();
-			for (it = doc[""sockets""].begin(); it != end; it++) {
-				const Json::Value &socketDoc = *it;
+			return;
+		}
+		if (socketsRequired && doc[""sockets""].empty()) {
+			errors.push_back(""'sockets' must be non-empty"");
+			return;
+		}
 
-				if (!socketDoc.isObject()) {
-					errors.push_back(""'sockets["" + toString(it.index())
-						+ ""]' must be an object"");
-					continue;
-				}
+		Json::Value::const_iterator it, end = doc[""sockets""].end();
+		for (it = doc[""sockets""].begin(); it != end; it++) {
+			const Json::Value &socketDoc = *it;
 
-				validateResultPropertiesFileSocketField(socketDoc,
-					""address"", Json::stringValue, it.index(),
-					true, true, errors);
-				validateResultPropertiesFileSocketField(socketDoc,
-					""protocol"", Json::stringValue, it.index(),
-					true, true, errors);
-				validateResultPropertiesFileSocketField(socketDoc,
-					""description"", Json::stringValue, it.index(),
-					false, true, errors);
-				validateResultPropertiesFileSocketField(socketDoc,
-					""concurrency"", Json::intValue, it.index(),
-					true, false, errors);
-				validateResultPropertiesFileSocketField(socketDoc,
-					""accept_http_requests"", Json::booleanValue, it.index(),
-					false, false, errors);
+			if (!socketDoc.isObject()) {
+				errors.push_back(""'sockets["" + toString(it.index())
+					+ ""]' must be an object"");
+				continue;
 			}
+
+			validateResultPropertiesFileSocketField(socketDoc,
+				""address"", Json::stringValue, it.index(),
+				true, true, errors);
+			validateResultPropertiesFileSocketField(socketDoc,
+				""protocol"", Json::stringValue, it.index(),
+				true, true, errors);
+			validateResultPropertiesFileSocketField(socketDoc,
+				""description"", Json::stringValue, it.index(),
+				false, true, errors);
+			validateResultPropertiesFileSocketField(socketDoc,
+				""concurrency"", Json::intValue, it.index(),
+				true, false, errors);
+			validateResultPropertiesFileSocketField(socketDoc,
+				""accept_http_requests"", Json::booleanValue, it.index(),
+				false, false, errors);
+			validateResultPropertiesFileSocketAddress(socketDoc,
+				it.index(), errors);
 		}
 	}
 
@@ -507,6 +512,89 @@ private:
 		}
 	}
 
+	void validateResultPropertiesFileSocketAddress(const Json::Value &doc,
+		unsigned int index, vector<string> &errors) const
+	{
+		if (!doc[""address""].isString()
+		 || getSocketAddressType(doc[""address""].asString()) != SAT_UNIX)
+		{
+			return;
+		}
+
+		string filename = parseUnixSocketAddress(doc[""address""].asString());
+
+		if (filename.empty()) {
+			errors.push_back(""'sockets["" + toString(index)
+				+ ""].address' contains an empty Unix domain socket filename"");
+			return;
+		}
+
+		if (filename[0] != '/') {
+			errors.push_back(""'sockets["" + toString(index)
+				+ ""].address' when referring to a Unix domain socket, must be""
+				"" an absolute path (given path: "" + filename + "")"");
+			return;
+		}
+
+		// If any of the parent directories is writable by a normal user
+		// (Joe) that is not the app's user (Jane), then Joe can swap that
+		// directory with something else, with contents controlled by Joe.
+		// That way, Joe can cause Passenger to connect to (and forward
+		// Jane's traffic to) a process that does not actually belong to
+		// Jane.
+		//
+		// To mitigate this risk, we insist that the socket be placed in a
+		// directory that we know is safe (instanceDir + ""/apps.s"").
+		// We don't rely on isPathProbablySecureForRootUse() because that
+		// function cannot be 100% sure that it is correct.
+
+		// instanceDir is only empty in tests
+		if (!session.context->instanceDir.empty()) {
+			StaticString actualDir = extractDirNameStatic(filename);
+			string expectedDir = session.context->instanceDir + ""/apps.s"";
+			if (actualDir != expectedDir) {
+				errors.push_back(""'sockets["" + toString(index)
+					+ ""].address', when referring to a Unix domain socket,""
+					"" must be an absolute path to a file in '""
+					+ expectedDir + ""' (given path: "" + filename + "")"");
+				return;
+			}
+		}
+
+		struct stat s;
+		int ret;
+		do {
+			ret = lstat(filename.c_str(), &s);
+		} while (ret == -1 && errno == EAGAIN);
+
+		if (ret == -1) {
+			int e = errno;
+		",0.0,,0.0,,0.0,none
CVE-2018-12028,CVE-2018-12028/a4f2b12d36483505747c1777fd9d30af0baab431,https://github.com/phusion/passenger/commit/a4f2b12d36483505747c1777fd9d30af0baab431,"<s>An Incorrect Access Control vulnerability in SpawningKit in Phusion Passenger 5.3.x before 5.3.2 allows a Passenger-managed malicious application, upon spawning a child process, to report an arbitrary different PID back to Passenger's process manager. If the malicious application then generates an error, it would cause Passenger's process manager to kill said reported arbitrary PID.</s>","<s>SpawningKit HandshakePerform: add more trace points
</s>"," diff --git a/src/agent/Core/SpawningKit/Handshake/Perform.h b/src/agent/Core/SpawningKit/Handshake/Perform.h
index c4193bace..74e874db9 100644
--- a/src/agent/Core/SpawningKit/Handshake/Perform.h
+++ b/src/agent/Core/SpawningKit/Handshake/Perform.h
@@ -373,6 +373,7 @@ private:
 	}
 
 	void loadResultPropertiesFromResponseDir(bool socketsRequired) {
+		TRACE_POINT();
 		Result &result = session.result;
 		string path = session.responseDir + ""/properties.json"";
 		Json::Reader reader;
@@ -386,6 +387,7 @@ private:
 		// a generic filesystem-related or IO-related SpawnException, as opposed
 		// to one about this problem specifically.
 
+		UPDATE_TRACE_POINT();
 		pair<string, bool> jsonContent = safeReadFile(session.responseDirFd, ""properties.json"",
 			SPAWNINGKIT_MAX_PROPERTIES_JSON_SIZE);
 		if (!jsonContent.second) {
@@ -401,6 +403,7 @@ private:
 				errors);
 		}
 
+		UPDATE_TRACE_POINT();
 		validateResultPropertiesFile(doc, socketsRequired, errors);
 		if (!errors.empty()) {
 			errors.insert(errors.begin(), ""The following errors were detected in ""
@@ -413,6 +416,7 @@ private:
 			return;
 		}
 
+		UPDATE_TRACE_POINT();
 		Json::Value::iterator it, end = doc[""sockets""].end();
 		for (it = doc[""sockets""].begin(); it != end; it++) {
 			const Json::Value &socketDoc = *it;
@@ -434,6 +438,7 @@ private:
 	void validateResultPropertiesFile(const Json::Value &doc, bool socketsRequired,
 		vector<string> &errors) const
 	{
+		TRACE_POINT();
 		if (!doc.isMember(""sockets"")) {
 			if (socketsRequired) {
 				errors.push_back(""'sockets' must be specified"");
@@ -449,6 +454,7 @@ private:
 			return;
 		}
 
+		UPDATE_TRACE_POINT();
 		Json::Value::const_iterator it, end = doc[""sockets""].end();
 		for (it = doc[""sockets""].begin(); it != end; it++) {
 			const Json::Value &socketDoc = *it;
@@ -515,6 +521,7 @@ private:
 	void validateResultPropertiesFileSocketAddress(const Json::Value &doc,
 		unsigned int index, vector<string> &errors) const
 	{
+		TRACE_POINT();
 		if (!doc[""address""].isString()
 		 || getSocketAddressType(doc[""address""].asString()) != SAT_UNIX)
 		{
@@ -548,6 +555,7 @@ private:
 		// We don't rely on isPathProbablySecureForRootUse() because that
 		// function cannot be 100% sure that it is correct.
 
+		UPDATE_TRACE_POINT();
 		// instanceDir is only empty in tests
 		if (!session.context->instanceDir.empty()) {
 			StaticString actualDir = extractDirNameStatic(filename);
@@ -561,6 +569,7 @@ private:
 			}
 		}
 
+		UPDATE_TRACE_POINT();
 		struct stat s;
 		int ret;
 		do {
@@ -587,6 +596,7 @@ private:
 		// on macOS it seems that all directories behave as if
 		// they have the setgid bit set.
 
+		UPDATE_TRACE_POINT();
 		if (s.st_uid != session.uid) {
 			errors.push_back(""'sockets["" + toString(index)
 				+ ""].address', when referring to a Unix domain socket file,""
",0.0,,0.0,,0.0,none
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CVE-2018-10191,CVE-2018-10191/1905091634a6a2925c911484434448e568330626,https://github.com/mruby/mruby/commit/1905091634a6a2925c911484434448e568330626,"<s>In versions of mruby up to and including 1.4.0, an integer overflow exists in src/vm.c::mrb_vm_exec() when handling OP_GETUPVAR in the presence of deep scope nesting, resulting in a use-after-free. An attacker that can cause Ruby code to be run can use this to possibly execute arbitrary code.</s>","<s>Check length of env stack before accessing upvar; fix #3995
</s>"," diff --git a/src/vm.c b/src/vm.c
index ae9bf2e69..0acdd1ba8 100644
--- a/src/vm.c
+++ b/src/vm.c
@@ -1201,11 +1201,11 @@ RETRY_TRY_BLOCK:
       mrb_value *regs_a = regs + a;
       struct REnv *e = uvenv(mrb, c);
 
-      if (!e) {
-        *regs_a = mrb_nil_value();
+      if (e && b < MRB_ENV_STACK_LEN(e)) {
+        *regs_a = e->stack[b];
       }
       else {
-        *regs_a = e->stack[b];
+        *regs_a = mrb_nil_value();
       }
       NEXT;
     }
",1.0,,1.0,,1.0,tfidf
CVE-2018-10191,CVE-2018-10191/4c1494d58fbccbd6363060cadfc8420480bf87e8,https://github.com/mruby/mruby/commit/4c1494d58fbccbd6363060cadfc8420480bf87e8,"<s>In versions of mruby up to and including 1.4.0, an integer overflow exists in src/vm.c::mrb_vm_exec() when handling OP_GETUPVAR in the presence of deep scope nesting, resulting in a use-after-free. An attacker that can cause Ruby code to be run can use this to possibly execute arbitrary code.</s>","<s>Check if `mruby-pack` template count overflow; fix #3942
</s>"," diff --git a/mrbgems/mruby-pack/src/pack.c b/mrbgems/mruby-pack/src/pack.c
index ceb862d3f..30139fb74 100644
--- a/mrbgems/mruby-pack/src/pack.c
+++ b/mrbgems/mruby-pack/src/pack.c
@@ -1050,6 +1050,9 @@ alias:
       count = ch - '0';
       while (tmpl->idx < tlen && isdigit(tptr[tmpl->idx])) {
         count = count * 10 + (tptr[tmpl->idx++] - '0');
+        if (count < 0) {
+          mrb_raisef(mrb, E_RUNTIME_ERROR, ""too big template length"");
+        }
       }
       continue;  /* special case */
     } else if (ch == '*')  {
",0.0,,0.0,,0.0,tfidf
CVE-2018-10191,CVE-2018-10191/ca837b1a24ab6a0d771d34ad4efd97c4ab6b2c16,https://github.com/mruby/mruby/commit/ca837b1a24ab6a0d771d34ad4efd97c4ab6b2c16,"<s>In versions of mruby up to and including 1.4.0, an integer overflow exists in src/vm.c::mrb_vm_exec() when handling OP_GETUPVAR in the presence of deep scope nesting, resulting in a use-after-free. An attacker that can cause Ruby code to be run can use this to possibly execute arbitrary code.</s>","<s>Allow `-> do rescue; end` as well as `proc do rescue; end` [Ruby2.6]
</s>"," diff --git a/mrbgems/mruby-compiler/core/parse.y b/mrbgems/mruby-compiler/core/parse.y
index 01269d8da..e4c258368 100644
--- a/mrbgems/mruby-compiler/core/parse.y
+++ b/mrbgems/mruby-compiler/core/parse.y
@@ -2568,7 +2568,7 @@ lambda_body     : tLAMBEG compstmt '}'
                     {
                       $$ = $2;
                     }
-                | keyword_do_LAMBDA compstmt keyword_end
+                | keyword_do_LAMBDA bodystmt keyword_end
                     {
                       $$ = $2;
                     }
",0.0,,0.0,,0.0,tfidf
